Year,Real per Capita GDP Growth Rate (annual %),Real GDP growth (annual %),"Gross domestic product, (constant prices US$)","Gross domestic product, current prices (current US$)",Final consumption expenditure  (current US$),General government final consumption expenditure (current US$),Household final consumption expenditure (current US$),Gross capital formation (current US$),"Gross capital formation, Private sector  (current US$)","Gross capital formation, Public sector  (current US$)",Exports of goods and services (current US$),Imports of goods and services (current US$),Final consumption expenditure  (% of GDP),General government final consumption expenditure (% of GDP),Household final consumption expenditure  (% of GDP),Gross capital formation (% of GDP),"Gross capital formation, Private sector (% GDP)","Gross capital formation, Public sector (% GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),"Central government, Fiscal Balance (Current US $)","Central government, total revenue and grants  (Current US $)","Central government, total expenditure and net lending  (Current US $)","Central government, Fiscal Balance (% of GDP)","Central government, total revenue and grants  (% of GDP)","Central government, total expenditure and net lending  (% of GDP)","Current account balance (Net, BoP, cur. US$)",Current account balance (As % of GDP),"Inflation, consumer prices (annual %)"
1980,0.9715321943099647,3.4819583057480155,13600.737324680911,10415.857407407408,5500.2097003787385,1159.1879968766766,4341.0231790140315,1846.9590922191908,1620.2377737406716,1056.7971452959403,2476.1305802761403,2311.545644689116,74.56851870659501,15.197988582276128,59.369577966019996,18.59963716791515,11.132518777772146,7.953286042488781,24.981471230064557,36.167058174666984,-281.62944511540616,2004.0258044098634,2266.1992969078674,-5.65165540998682,21.493650002906,26.743294430345323,50.01837629949331,-7.163063267465634,13.03770283844059
1981,-0.8233210212561729,2.0545071389922835,13744.409176532763,9891.282407407407,5863.2165522305895,1239.3213302100103,4623.896141976995,1973.8629811080796,1662.4081177362007,987.4634746570601,2119.706691387252,2552.443237281708,77.27814833622466,15.546321915609461,61.73124463268665,19.33889642717441,12.253828893829466,7.361718680047864,23.928878637471964,37.64631743392624,-490.9116673376284,1975.049508113567,2446.5054080189784,-6.331099854431265,21.026242595498594,26.955887022937915,-329.30384592272895,-7.6397299341323,18.850817137762018
1982,-0.17943213236728395,2.695988620473765,14005.087509866096,9709.049444444445,5777.0387744528125,1224.2124413211213,4552.826882717735,1752.8066848117833,1528.7292288473118,893.6547709533565,1843.7218765724372,2212.1830520965236,78.86703722511355,15.785951545239092,63.0806890771311,20.015007538285523,11.903458523459095,8.196903865233049,22.579249007842336,37.13131743392624,-634.6042599302209,1927.186545150604,2542.3354080189783,-7.022581335912746,22.110131484387484,28.731072208123102,-324.61773481161777,-8.777878082280449,15.254396555989208
1983,-2.354617317552469,0.4585812130663581,14052.476583940172,9884.352962962961,5491.232478156516,1205.9459598396397,4285.28632716218,1646.3303885154871,1413.7599695880524,883.43810428669,1752.280950646511,1909.7113854298568,77.93685203992835,15.728729323016868,62.20809648453851,17.603896427174412,10.477717782718354,7.244311272640456,22.860730489323814,34.617984100592906,-542.346296967258,1849.040184301067,2389.67688950046,-5.822951706283117,21.503898960702298,27.217183319234213,-160.23106814495114,-5.7347299341323,17.48124840784106
1984,-0.8718395397746913,1.970618250103395,14500.541769125357,9642.63425925926,5335.803033712071,1149.9789228026025,4185.822993828847,1572.4644625895612,1408.1892288473118,818.1205116940973,1845.5420617576222,1975.222311355783,77.30851870659502,15.280025619313164,62.02957796601999,16.82445198272997,10.292717782718356,6.915422383751568,23.85665641524974,34.65576187837069,-500.1353710413321,1824.86814726403,2323.293000611571,-5.1083220766534865,21.34426933107267,26.342183319234213,-113.25551258939558,-5.128804008206374,17.46050766710032
1985,1.270567867632716,4.192655287140433,15023.920472829059,9579.648703703702,5281.441367045405,1127.154107987788,4154.287067902921,1482.7053885154871,1308.326451069534,809.2684746570602,1817.7274321279926,1804.2243483928198,78.31370389178021,15.378914508202055,62.93550389194592,17.271674204952188,10.396791856792431,7.080422383751567,23.607767526360856,34.077798915407726,-396.7185191894802,1869.4551843010672,2264.464111722682,-4.51128503961645,21.34001007181341,25.741442578493473,11.273561484678496,-4.448618823021189,19.213470630063284
1986,-0.3098025027376543,2.5789515834367283,15214.743435792023,8491.853703703704,5722.38729297133,1245.07633021001,4477.312623458476,1558.7735366636352,1340.5329325510156,798.2364376200233,1616.4096543502149,1794.2217558002274,77.93351870659502,15.980025619313166,61.95420759564962,16.837970501248485,10.006051116051689,7.117829791158975,22.400360118953447,32.54835447096328,-556.5600006709617,1870.9605546714374,2425.8102228337934,-5.151099854431265,21.620010071813407,26.660701837752733,-138.32680888569186,-4.426766971169337,17.032729889322543
1987,-1.0270247249598765,1.8270997315848765,15355.55195431054,8427.82,6271.077478156516,1386.007256135936,4885.070030865883,1608.119277404376,1322.7918214399044,882.626252434838,1822.5650247205851,1868.1186076520792,78.98407426215057,15.617062656350202,63.367726114168136,17.03611864939663,9.795865930866503,7.529126087455271,23.029804563397892,32.89113224874106,-618.0214821524431,1936.426110226993,2552.736148759719,-5.556099854431265,21.060195256998593,26.505146282197174,-154.1096255214943,-4.0359385446271565,23.188655815248467
1988,1.4627900898549384,4.3296923241774685,16041.673620977208,9039.920185185185,6533.029144823183,1404.2854042840843,5128.743919754773,1717.829092219191,1452.8486732917563,939.3881042866898,1894.7768765724368,2130.629533578005,77.76203722511354,15.220581174868721,62.540874262316294,17.586859390137374,10.739384449385023,7.298200161529345,22.610360118953444,32.850021137629945,-703.2705562265173,2013.599999115882,2715.1611487597193,-5.706840595172005,20.810195256998593,26.407553689604583,-277.01240329927214,-4.838901507590118,18.13513729672995
1989,0.9416789787438271,3.6785812130663578,16647.643250606838,9214.468518518519,6623.660811489849,1400.06133021001,5223.599845680698,1755.5866848117835,1500.813488106571,922.4584746570603,2047.7535432391035,2263.6223113557826,76.7024075954839,14.50447006375761,62.19754092898295,16.584081612359597,10.08827333827391,7.0137557170849005,22.54369345228678,32.682428545037354,-595.5925932635544,2178.0153694862524,2771.8987413523114,-4.964618372949783,21.107602664406,25.961257393308287,-240.69351441038324,-4.956123729812341,18.156167253156966
